repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,direct_review_comment_flag,discussion_flag,rationale_flag,notes,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,c355325a89f9afe3daf0976385c9032dac019311,https://github.com/apache/kafka/commit/c355325a89f9afe3daf0976385c9032dac019311,False,,,,,,,,,,
apache/kafka,5946,refactoring-inducing PR,https://github.com/apache/kafka/pull/5946,18fc9f98f90870a52c491b5c3b22c98f4fd8276a,https://github.com/apache/kafka/commit/18fc9f98f90870a52c491b5c3b22c98f4fd8276a,False,Extract Variable,expiredCheckpoint : long in method public shouldRecoverFromOffsetOutOfRangeExceptionAndRestoreFromStart() : void from class org.apache.kafka.streams.processor.internals.StoreChangelogReaderTest,true,true,false,true,false,true,"Review comments on adding a test, how to create an integration test (including instructions), and suggesting a refactoring* (""Maybe introduce variable ...""?)",
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,e97ced44f53832cc5ce0f5d2f27ecb54a7e20850,https://github.com/apache/kafka/commit/e97ced44f53832cc5ce0f5d2f27ecb54a7e20850,True,Change Parameter Type,"sends : List<Send> to sends : Queue<Send> in method public MultiSend(dest String, sends Queue<Send>) in class org.apache.kafka.common.network.MultiSend",,,,,,,,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,e97ced44f53832cc5ce0f5d2f27ecb54a7e20850,https://github.com/apache/kafka/commit/e97ced44f53832cc5ce0f5d2f27ecb54a7e20850,True,Inline Method,private nextSendOrDone() : void inlined to public writeTo(channel GatheringByteChannel) : long in class org.apache.kafka.common.network.MultiSend,,,,,,,,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,e97ced44f53832cc5ce0f5d2f27ecb54a7e20850,https://github.com/apache/kafka/commit/e97ced44f53832cc5ce0f5d2f27ecb54a7e20850,True,Change Variable Type,"sends : List<Send> to sends : LinkedList<Send> in method protected toSend(dest String, responseHeader ResponseHeader, apiVersion short) : Send in class org.apache.kafka.common.requests.FetchResponse",,,,,,,,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,6c54814fd6520d522a0f1252aebd35ec2cf0b7f4,https://github.com/apache/kafka/commit/6c54814fd6520d522a0f1252aebd35ec2cf0b7f4,False,Change Variable Type,out : ByteBufferChannel to out : NonOverflowingByteBufferChannel in method public testSendsFreedAfterWriting() : void in class org.apache.kafka.common.network.MultiSendTest,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,https://github.com/apache/kafka/commit/d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,False,Change Parameter Type,"sends : List<Send> to sends : Queue<Send> in method private addResponseData(struct Struct, throttleTimeMs int, dest String, sends Queue<Send>) : void in class org.apache.kafka.common.requests.FetchResponse",true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,https://github.com/apache/kafka/commit/d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,False,Change Parameter Type,"sends : List<Send> to sends : Queue<Send> in method private addTopicData(dest String, sends Queue<Send>, topicData Struct) : void in class org.apache.kafka.common.requests.FetchResponse",true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,https://github.com/apache/kafka/commit/d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,False,Change Parameter Type,"sends : List<Send> to sends : Queue<Send> in method private addPartitionData(dest String, sends Queue<Send>, partitionData Struct) : void in class org.apache.kafka.common.requests.FetchResponse",true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,https://github.com/apache/kafka/commit/d8f13c27e1d6d6d28b5577db67685ff45bfbe53d,False,Change Variable Type,"sends : LinkedList<Send> to sends : Queue<Send> in method protected toSend(dest String, responseHeader ResponseHeader, apiVersion short) : Send in class org.apache.kafka.common.requests.FetchResponse",true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,908561c86d71fae12f4c44e3c55d635f8ba09af4,https://github.com/apache/kafka/commit/908561c86d71fae12f4c44e3c55d635f8ba09af4,False,,,,,,,,,,
apache/kafka,4574,refactoring-inducing PR,https://github.com/apache/kafka/pull/4574,0fbd729e630fa4e6f511cb89988bd981e45f7a0d,https://github.com/apache/kafka/commit/0fbd729e630fa4e6f511cb89988bd981e45f7a0d,False,,,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Extract Method,"private getKeystore(keystorePath String, keystoreType String, alias String, failIfNotAccessible boolean) : KeyStore extracted from public getKeystoreForGateway() : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService",,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Rename Variable,"keyStoreFile : File to keystoreFile : File in method private getKeystore(keystorePath String, keystoreType String, alias String, failIfNotAccessible boolean) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService",,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Extract Method,"private getKeystore(keystorePath String, keystoreType String, alias String, failIfNotAccessible boolean) : KeyStore extracted from public getSigningKeystore(keystoreName String) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService",,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Extract Method,"private getKeystore(keystorePath String, keystoreType String, alias String, failIfNotAccessible boolean) : KeyStore extracted from public getCredentialStoreForCluster(clusterName String) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService",,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Change Variable Type,keyStoreFile : File to keyStoreFile : String in method public getSigningKeystore(keystoreName String) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Change Variable Type,keyStoreFile : File to filename : String in method public getCredentialStoreForCluster(clusterName String) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Rename Variable,keyStoreFile : File to filename : String in method public getCredentialStoreForCluster(clusterName String) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Rename Variable,keystoreForGateway : KeyStore to identityKeystore : KeyStore in method public createHttpClient(filterConfig FilterConfig) : HttpClient in class org.apache.knox.gateway.dispatch.DefaultHttpClientFactory,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Rename Variable,keypass : char[] to identityKeyPassphrase : char[] in method public createHttpClient(filterConfig FilterConfig) : HttpClient in class org.apache.knox.gateway.dispatch.DefaultHttpClientFactory,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Move And Rename Attribute,private TRUSTSTORE_PATH : String renamed to public GATEWAY_TRUSTSTORE_PATH : String and moved from class org.apache.knox.gateway.config.impl.GatewayConfigImpl to class org.apache.knox.gateway.config.GatewayConfig,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,https://github.com/apache/knox/commit/47e8e7e301e26d3a85fc4c233cc61b052c1d26c1,True,Move And Rename Attribute,private TRUSTSTORE_TYPE : String renamed to public GATEWAY_TRUSTSTORE_TYPE : String and moved from class org.apache.knox.gateway.config.impl.GatewayConfigImpl to class org.apache.knox.gateway.config.GatewayConfig,,,,,,,,
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,c2ddcb95dd25057c4d176956636a0bc8b891a300,https://github.com/apache/knox/commit/c2ddcb95dd25057c4d176956636a0bc8b891a300,False,Change Parameter Type,"keystorePath : String to keystorePath : Path in method private getKeystore(keystorePath Path, keystoreType String, alias String, failIfNotAccessible boolean) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService",true,true,false,true,false,false,"A review comment suggested a change type (""Can we pass ... instead of ...""?)",
apache/knox,69,refactoring-inducing PR,https://github.com/apache/knox/pull/69,c2ddcb95dd25057c4d176956636a0bc8b891a300,https://github.com/apache/knox/commit/c2ddcb95dd25057c4d176956636a0bc8b891a300,False,Change Variable Type,keyStoreFile : String to keyStoreFile : Path in method public getSigningKeystore(keystoreName String) : KeyStore in class org.apache.knox.gateway.services.security.impl.DefaultKeystoreService,true,true,false,false,false,false,Refactoring inspired on the previous one,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,f2ee12b4c252cb973fcf1c5efeaae05a555cbb57,https://github.com/apache/avro/commit/f2ee12b4c252cb973fcf1c5efeaae05a555cbb57,True,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,96dce7cf5686a3c4d3d8413e177ec84803e0ca78,https://github.com/apache/avro/commit/96dce7cf5686a3c4d3d8413e177ec84803e0ca78,True,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Class,org.apache.avro.LogicalTypes.LocalDateTimeTimestampMillis renamed to org.apache.avro.LogicalTypes.LocalTimestampMillis,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Class,org.apache.avro.LogicalTypes.LocalDateTimeTimestampMicros renamed to org.apache.avro.LogicalTypes.LocalTimestampMicros,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Class,org.apache.avro.data.TimeConversions.LocalDateTimeTimestampMillisConversion renamed to org.apache.avro.data.TimeConversions.LocalTimestampMillisConversion,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Class,org.apache.avro.data.TimeConversions.LocalDateTimeTimestampMicrosConversion renamed to org.apache.avro.data.TimeConversions.LocalTimestampMicrosConversion,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Method,public testReadTimestampLocalDateTimeMillis() : void renamed to public testReadLocalTimestampMillis() : void in class org.apache.avro.generic.TestGenericLogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Method,public testWriteTimestampLocalDateTimeMillis() : void renamed to public testWriteLocalTimestampMillis() : void in class org.apache.avro.generic.TestGenericLogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Method,public testReadTimestampLocalDateTimeMicros() : void renamed to public testReadLocalTimestampMicros() : void in class org.apache.avro.generic.TestGenericLogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Method,public testWriteTimestampLocalDateTimeMicros() : void renamed to public testWriteLocalTimestampMicros() : void in class org.apache.avro.generic.TestGenericLogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Change Return Type,LocalDateTimeTimestampMillis to LocalTimestampMillis in method public localTimestampMillis() : LocalTimestampMillis in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Method,public localDateTimeTimestampMillis() : LocalDateTimeTimestampMillis renamed to public localTimestampMillis() : LocalTimestampMillis in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Change Return Type,LocalDateTimeTimestampMicros to LocalTimestampMicros in method public localTimestampMicros() : LocalTimestampMicros in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Method,public localDateTimeTimestampMicros() : LocalDateTimeTimestampMicros renamed to public localTimestampMicros() : LocalTimestampMicros in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Attribute,LOCAL_DATE_TIME_TIMESTAMP_MICROS : String to LOCAL_TIMESTAMP_MICROS : String in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Attribute,LOCAL_DATE_TIME_TIMESTAMP_MICROS_TYPE : LocalDateTimeTimestampMicros to LOCAL_TIMESTAMP_MICROS_TYPE : LocalTimestampMicros in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Change Attribute Type,LOCAL_DATE_TIME_TIMESTAMP_MICROS_TYPE : LocalDateTimeTimestampMicros to LOCAL_TIMESTAMP_MICROS_TYPE : LocalTimestampMicros in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Attribute,LOCAL_DATE_TIME_TIMESTAMP_MILLIS : String to LOCAL_TIMESTAMP_MILLIS : String in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Rename Attribute,LOCAL_DATE_TIME_TIMESTAMP_MILLIS_TYPE : LocalDateTimeTimestampMillis to LOCAL_TIMESTAMP_MILLIS_TYPE : LocalTimestampMillis in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,https://github.com/apache/avro/commit/a16efcd1e5c42ad42ab6bf9b0aeeb3639df91869,True,Change Attribute Type,LOCAL_DATE_TIME_TIMESTAMP_MILLIS_TYPE : LocalDateTimeTimestampMillis to LOCAL_TIMESTAMP_MILLIS_TYPE : LocalTimestampMillis in class org.apache.avro.LogicalTypes,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,012132c8af2b29cf6bb311d716fa5d865449a7d7,https://github.com/apache/avro/commit/012132c8af2b29cf6bb311d716fa5d865449a7d7,False,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,2e7fae7bfe17551574fdd47fe81398911282e1b8,https://github.com/apache/avro/commit/2e7fae7bfe17551574fdd47fe81398911282e1b8,False,Rename Method,public addDecimalAndUUID() : void renamed to public addLogicalTypes() : void in class org.apache.avro.generic.TestGenericLogicalTypes,true,true,false,true,false,true,"A review comment on the need for rename, giving a reason, induced such a refactoring",
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,afd3196691febe3d2af2779d0953b2e11403f5ea,https://github.com/apache/avro/commit/afd3196691febe3d2af2779d0953b2e11403f5ea,False,Extract Variable,i2long : Long in method public testReadLocalTimestampMillis() : void from class org.apache.avro.generic.TestGenericLogicalTypes,true,false,false,false,false,false,Refactoring led by the author,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,03b4cebfdde505edc7409dede66d11ef791f7c12,https://github.com/apache/avro/commit/03b4cebfdde505edc7409dede66d11ef791f7c12,False,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,213c5ef2ba5cd614b87d6182a9aca4c265db8eb1,https://github.com/apache/avro/commit/213c5ef2ba5cd614b87d6182a9aca4c265db8eb1,False,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,295f223fed8da47c8b675a61a05eaa8ceee46c36,https://github.com/apache/avro/commit/295f223fed8da47c8b675a61a05eaa8ceee46c36,False,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,bc0c645ee8cd37f4734005bc6577a8934207bf31,https://github.com/apache/avro/commit/bc0c645ee8cd37f4734005bc6577a8934207bf31,False,,,,,,,,,,
apache/avro,525,refactoring-inducing PR,https://github.com/apache/avro/pull/525,ca9d60efcfc79301ecec5590557c67d07986e1ac,https://github.com/apache/avro/commit/ca9d60efcfc79301ecec5590557c67d07986e1ac,False,,,,,,,,,,
apache/flink,7165,refactoring-inducing PR,https://github.com/apache/flink/pull/7165,087123b47826ca680db3b7b398716c3b3da403a5,https://github.com/apache/flink/commit/087123b47826ca680db3b7b398716c3b3da403a5,True,,,,,,,,,,
apache/flink,7165,refactoring-inducing PR,https://github.com/apache/flink/pull/7165,afcd3415f90ba201339387c094173bb6b1005e5e,https://github.com/apache/flink/commit/afcd3415f90ba201339387c094173bb6b1005e5e,False,Rename Method,public testTooSmallTimeSpan() : void renamed to public testTimeSpanBelowUpdateRate() : void in class org.apache.flink.metrics.MeterViewTest,true,true,false,true,false,false,"a review comment required a better documentation; a review comment ask for removing an output message, whereas it proposed an inlined code simplification; a review comment suggested a refactoring",
apache/flink,7165,refactoring-inducing PR,https://github.com/apache/flink/pull/7165,afcd3415f90ba201339387c094173bb6b1005e5e,https://github.com/apache/flink/commit/afcd3415f90ba201339387c094173bb6b1005e5e,False,Extract Variable,timeSpanInSeconds : int in method public testTimeSpanBelowUpdateRate() : void from class org.apache.flink.metrics.MeterViewTest,true,false,false,false,false,false,refactoring led by the author,
apache/flink,7165,refactoring-inducing PR,https://github.com/apache/flink/pull/7165,5431c867f02369940a966b66b8875e2fc762344d,https://github.com/apache/flink/commit/5431c867f02369940a966b66b8875e2fc762344d,False,,,,,,,,,,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,285a3446e1eb7f65c4faed49125d111de1db286a,https://github.com/apache/kafka/commit/285a3446e1eb7f65c4faed49125d111de1db286a,True,Rename Parameter,"producer : Producer<byte[],byte[]> to producerSupplier : ProducerSupplier in method public StreamTask(id TaskId, partitions Collection<TopicPartition>, topology ProcessorTopology, consumer Consumer<byte[],byte[]>, changelogReader ChangelogReader, config StreamsConfig, metrics StreamsMetricsImpl, stateDirectory StateDirectory, cache ThreadCache, time Time, producerSupplier ProducerSupplier, closeSensor Sensor) in class org.apache.kafka.streams.processor.internals.StreamTask",,,,,,,,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,285a3446e1eb7f65c4faed49125d111de1db286a,https://github.com/apache/kafka/commit/285a3446e1eb7f65c4faed49125d111de1db286a,True,Change Parameter Type,"producer : Producer<byte[],byte[]> to producerSupplier : ProducerSupplier in method public StreamTask(id TaskId, partitions Collection<TopicPartition>, topology ProcessorTopology, consumer Consumer<byte[],byte[]>, changelogReader ChangelogReader, config StreamsConfig, metrics StreamsMetricsImpl, stateDirectory StateDirectory, cache ThreadCache, time Time, producerSupplier ProducerSupplier, closeSensor Sensor) in class org.apache.kafka.streams.processor.internals.StreamTask",,,,,,,,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,285a3446e1eb7f65c4faed49125d111de1db286a,https://github.com/apache/kafka/commit/285a3446e1eb7f65c4faed49125d111de1db286a,True,Rename Parameter,"producer : Producer<byte[],byte[]> to producerSupplier : ProducerSupplier in method public StreamTask(id TaskId, partitions Collection<TopicPartition>, topology ProcessorTopology, consumer Consumer<byte[],byte[]>, changelogReader ChangelogReader, config StreamsConfig, metrics StreamsMetricsImpl, stateDirectory StateDirectory, cache ThreadCache, time Time, producerSupplier ProducerSupplier, recordCollector RecordCollector, closeSensor Sensor) in class org.apache.kafka.streams.processor.internals.StreamTask",,,,,,,,
