inspector,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,notes
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Move And Rename Class,org.apache.samza.test.table.TestCouchbaseRemoteTableEndToEnd.DummyReadFunction moved and renamed to org.apache.samza.table.remote.DummyTableReadFunction,,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Variable Type,"tableConfig : Map<String,String> to tableConfig : Map in method public testMinimal() : void in class org.apache.samza.storage.kv.inmemory.TestInMemoryTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Variable Type,"tableConfig : Map<String,String> to tableConfig : Map in method public testTableProviderFactoryConfig() : void in class org.apache.samza.storage.kv.inmemory.TestInMemoryTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Parameter Type,"kvStore : KeyValueStore to kvStore : KeyValueStore<K,V> in method public LocalTable(tableId String, kvStore KeyValueStore<K,V>) in class org.apache.samza.storage.kv.LocalTable",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Parameter Type,"config : Map<String,String> to config : Map in method private assertEquals(expectedValue String, key String, tableId String, config Map) : void in class org.apache.samza.table.TestBaseTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Parameter Type,"config : Map<String,String> to config : Map in method private assertEquals(expectedValue String, key String, config Map) : void in class org.apache.samza.storage.kv.descriptors.TestRocksDbTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Variable Type,"tableConfig : Map<String,String> to tableConfig : Map in method public testMinimal() : void in class org.apache.samza.storage.kv.descriptors.TestRocksDbTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Variable Type,"tableConfig : Map<String,String> to tableConfig : Map in method public testTableProviderFactoryConfig() : void in class org.apache.samza.storage.kv.descriptors.TestRocksDbTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,85157d8e85b7b1368c359027fc34bcf558e15731,https://github.com/apache/samza/commit/85157d8e85b7b1368c359027fc34bcf558e15731,TRUE,Change Variable Type,"tableConfig : Map<String,String> to tableConfig : Map in method public testRocksDbConfig() : void in class org.apache.samza.storage.kv.descriptors.TestRocksDbTableDescriptor",,,
analyst 3,https://github.com/apache/samza/pull/1051,0fcadfd3b67b27ba655aad7cd5a19fb66c369ea6,https://github.com/apache/samza/commit/0fcadfd3b67b27ba655aad7cd5a19fb66c369ea6,FALSE,Rename Class,org.apache.samza.table.remote.DummyTableReadFunction renamed to org.apache.samza.table.remote.NoOpTableReadFunction,VERDADEIRO,VERDADEIRO,Reviewer suggested the renaming and also suggested the new Class name
analyst 2,https://github.com/apache/kafka/pull/6595,3d54963d3e95a7ff1322c178263b9431bf7e615b,https://github.com/apache/kafka/commit/3d54963d3e95a7ff1322c178263b9431bf7e615b,TRUE,,,,,
analyst 2,https://github.com/apache/kafka/pull/6595,664404c078c1456f23cac9f66691bb9e175c7032,https://github.com/apache/kafka/commit/664404c078c1456f23cac9f66691bb9e175c7032,TRUE,Change Variable Type,"iterator : KeyValueIterator to iterator : KeyValueIterator<Windowed<Integer>,String> in method public shouldNotThrowInvalidRangeExceptionWithNegativeFromKey() : void in class org.apache.kafka.streams.state.internals.InMemoryWindowStoreTest",,,
analyst 2,https://github.com/apache/kafka/pull/6595,664404c078c1456f23cac9f66691bb9e175c7032,https://github.com/apache/kafka/commit/664404c078c1456f23cac9f66691bb9e175c7032,TRUE,Change Variable Type,"iterator : KeyValueIterator to iterator : KeyValueIterator<Windowed<Integer>,String> in method public shouldNotThrowInvalidRangeExceptionWithNegativeFromKey() : void in class org.apache.kafka.streams.state.internals.RocksDBWindowStoreTest",,,
analyst 2,https://github.com/apache/kafka/pull/6595,664404c078c1456f23cac9f66691bb9e175c7032,https://github.com/apache/kafka/commit/664404c078c1456f23cac9f66691bb9e175c7032,TRUE,Change Variable Type,"iterator : KeyValueIterator to iterator : KeyValueIterator<Windowed<Bytes>,byte[]> in method public shouldNotThrowInvalidRangeExceptionWithNegativeFromKey() : void in class org.apache.kafka.streams.state.internals.CachingWindowStoreTest",,,
analyst 2,https://github.com/apache/kafka/pull/6595,664404c078c1456f23cac9f66691bb9e175c7032,https://github.com/apache/kafka/commit/664404c078c1456f23cac9f66691bb9e175c7032,TRUE,Change Variable Type,"iterator : KeyValueIterator to iterator : KeyValueIterator<Windowed<String>,Long> in method public shouldNotThrowInvalidRangeExceptionWithNegativeFromKey() : void in class org.apache.kafka.streams.state.internals.RocksDBSessionStoreTest",,,
analyst 2,https://github.com/apache/kafka/pull/6595,664404c078c1456f23cac9f66691bb9e175c7032,https://github.com/apache/kafka/commit/664404c078c1456f23cac9f66691bb9e175c7032,TRUE,Change Variable Type,"iterator : KeyValueIterator to iterator : KeyValueIterator<Integer,String> in method public shouldNotThrowInvalidRangeExceptionWithNegativeFromKey() : void in class org.apache.kafka.streams.state.internals.AbstractKeyValueStoreTest",,,
analyst 2,https://github.com/apache/kafka/pull/6595,664404c078c1456f23cac9f66691bb9e175c7032,https://github.com/apache/kafka/commit/664404c078c1456f23cac9f66691bb9e175c7032,TRUE,Change Variable Type,"iterator : KeyValueIterator to iterator : KeyValueIterator<Windowed<Bytes>,byte[]> in method public shouldNotThrowInvalidRangeExceptionWithNegativeFromKey() : void in class org.apache.kafka.streams.state.internals.CachingSessionStoreTest",,,
analyst 2,https://github.com/apache/kafka/pull/6595,af5e829ee7a4708e37c819fea2c84cf59bfe6c13,https://github.com/apache/kafka/commit/af5e829ee7a4708e37c819fea2c84cf59bfe6c13,TRUE,,,,,
analyst 2,https://github.com/apache/kafka/pull/6595,cee2e5d0ebc688e419c0453ee366050af73aef6c,https://github.com/apache/kafka/commit/cee2e5d0ebc688e419c0453ee366050af73aef6c,FALSE,,,,,
analyst 2,https://github.com/apache/kafka/pull/6595,a41ba64615c0a4012ff2b76a0d7d6a0097e22769,https://github.com/apache/kafka/commit/a41ba64615c0a4012ff2b76a0d7d6a0097e22769,FALSE,Extract And Move Method,"public emptyIterator() : WrappedInMemoryWindowStoreIterator extracted from public fetch(key Bytes, timeFrom long, timeTo long) : WindowStoreIterator<byte[]> in class org.apache.kafka.streams.state.internals.InMemoryWindowStore & moved to class org.apache.kafka.streams.state.internals.InMemoryWindowStore.WrappedInMemoryWindowStoreIterator",VERDADEIRO,FALSO,Author realized the need of refactoring before the revision
analyst 2,https://github.com/apache/kafka/pull/6595,fcd32003705334c5ed43a92b206f9df2f355de64,https://github.com/apache/kafka/commit/fcd32003705334c5ed43a92b206f9df2f355de64,FALSE,,,,,
analyst 1,https://github.com/apache/beam/pull/5358,537d60464ca3ee5c1f895c250d77a86bcac6d77b,https://github.com/apache/beam/commit/537d60464ca3ee5c1f895c250d77a86bcac6d77b,TRUE,,,,,
analyst 1,https://github.com/apache/beam/pull/5358,413b70ba64c364d0a89f2303622037b162ceef2b,https://github.com/apache/beam/commit/413b70ba64c364d0a89f2303622037b162ceef2b,FALSE,Rename Variable,"inputDataSet : DataStream<WindowedValue<KV<K,V>>> to inputDataStream : DataStream<WindowedValue<KV<K,V>>> in method private translateReshuffle(id String, pipeline RunnerApi.Pipeline, context StreamingTranslationContext) : void in class org.apache.beam.runners.flink.FlinkStreamingPortablePipelineTranslator",TRUE,FALSE,"There are review comments regarding the class where variable was renamed, but nothing is directly related to such variable."
analyst 2,https://github.com/apache/tinkerpop/pull/109,f0d39fdaab3cc5064a99801fcfc5d6ede7f37911,https://github.com/apache/tinkerpop/commit/f0d39fdaab3cc5064a99801fcfc5d6ede7f37911,TRUE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,b611bc6018da36fc6f249e3b630cf0fff0fedcd3,https://github.com/apache/tinkerpop/commit/b611bc6018da36fc6f249e3b630cf0fff0fedcd3,TRUE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,6ab524f0afcded08760f79e027eb1e4539725973,https://github.com/apache/tinkerpop/commit/6ab524f0afcded08760f79e027eb1e4539725973,TRUE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,30b16887bfd2c100edd857f6f1ffd9f4e81f61a2,https://github.com/apache/tinkerpop/commit/30b16887bfd2c100edd857f6f1ffd9f4e81f61a2,FALSE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,440b3e03435d8ead2ceac46f4225e1ea66736589,https://github.com/apache/tinkerpop/commit/440b3e03435d8ead2ceac46f4225e1ea66736589,FALSE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,6b01bc4278aa735b9da8a243a3cb082490b4601d,https://github.com/apache/tinkerpop/commit/6b01bc4278aa735b9da8a243a3cb082490b4601d,FALSE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,b7fd3bee50c1cdf539ddf3973f4c9cd7e31fafb8,https://github.com/apache/tinkerpop/commit/b7fd3bee50c1cdf539ddf3973f4c9cd7e31fafb8,FALSE,Rename Attribute,isLinuxOS : boolean to isEpollEnabled : boolean in class org.apache.tinkerpop.gremlin.server.GremlinServer,VERDADEIRO,VERDADEIRO,Reviewer suggested to change the name from isLinuxOS to epollEnabled
analyst 2,https://github.com/apache/tinkerpop/pull/109,4f407dda821d68135bd4d7eec8d97f24545f0242,https://github.com/apache/tinkerpop/commit/4f407dda821d68135bd4d7eec8d97f24545f0242,FALSE,,,,,
analyst 2,https://github.com/apache/tinkerpop/pull/109,8226854a1f73bb11b52405f1f81eb15bbd6d386f,https://github.com/apache/tinkerpop/commit/8226854a1f73bb11b52405f1f81eb15bbd6d386f,FALSE,,,,,
analyst 2,https://github.com/apache/cloudstack/pull/3037,5c09abacce363baa7ce24a9432adf0ac5e9b2e70,https://github.com/apache/cloudstack/commit/5c09abacce363baa7ce24a9432adf0ac5e9b2e70,TRUE,,,,,
analyst 2,https://github.com/apache/cloudstack/pull/3037,26c9206be9761738dcaf1eef6ca8f0d6ff4dd07c,https://github.com/apache/cloudstack/commit/26c9206be9761738dcaf1eef6ca8f0d6ff4dd07c,FALSE,Extract Method,"protected isBroadcastTypeVlanOrVxlan(nic NicTO) : boolean extracted from public plug(nic NicTO, guestOsType String, nicAdapter String) : LibvirtVMDef.InterfaceDef in class com.cloud.hypervisor.kvm.resource.BridgeVifDriver",VERDADEIRO,VERDADEIRO,A review comment in commit's parent directly suggested such refactoring.
analyst 2,https://github.com/apache/cloudstack/pull/3037,e584c57d0ade3bde49ef8cc7d83a950b73d28b6c,https://github.com/apache/cloudstack/commit/e584c57d0ade3bde49ef8cc7d83a950b73d28b6c,FALSE,,,,,
analyst 2,https://github.com/apache/kafka/pull/4628,585cf7d808bb956133618ef9b4a256a020bd09b0,https://github.com/apache/kafka/commit/585cf7d808bb956133618ef9b4a256a020bd09b0,TRUE,,,,,
analyst 2,https://github.com/apache/kafka/pull/4628,4aea63b33ac2fb3ab55e31aa0a706b5397f736e2,https://github.com/apache/kafka/commit/4aea63b33ac2fb3ab55e31aa0a706b5397f736e2,FALSE,,,,,
analyst 2,https://github.com/apache/kafka/pull/4628,b58440c9337323a3425ae569fb7f16a0204983d5,https://github.com/apache/kafka/commit/b58440c9337323a3425ae569fb7f16a0204983d5,FALSE,,,,,
analyst 2,https://github.com/apache/kafka/pull/4628,f8fd4f35be4fe5185f6325fe55605244fb5599cd,https://github.com/apache/kafka/commit/f8fd4f35be4fe5185f6325fe55605244fb5599cd,FALSE,Rename Method,public shouldComputeWindowsForLinkedHashMap() : void renamed to public shouldReturnMatchedWindowsOrderedByTimestamp() : void in class org.apache.kafka.streams.kstream.internals.TimeWindowTest,VERDADEIRO,VERDADEIRO,A review comment in commit's parent directly suggested such refactoring.
analyst 2,https://github.com/apache/kafka/pull/4628,48a931b0fc136a17620c96e2fc23022327b952dc,https://github.com/apache/kafka/commit/48a931b0fc136a17620c96e2fc23022327b952dc,FALSE,,,,,
analyst 2,https://github.com/apache/kafka/pull/4628,0f7b0811399b5cb686537fc4d62581052ace6d57,https://github.com/apache/kafka/commit/0f7b0811399b5cb686537fc4d62581052ace6d57,FALSE,,,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,conn : Connector to conn : AccumuloClient in method public main(args String[]) : void in class org.apache.accumulo.testing.core.merkle.cli.ManualComparison,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,c : Connector to c : AccumuloClient in method public main(args String[]) : void in class org.apache.accumulo.testing.core.stress.Write,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,conn : Connector to conn : AccumuloClient in method public main(args String[]) : void in class org.apache.accumulo.testing.core.continuous.UndefinedAnalyzer,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Return Type,Connector to AccumuloClient in method public getConnector() : AccumuloClient in class org.apache.accumulo.testing.core.scalability.ScaleTest,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Attribute Type,conn : Connector to conn : AccumuloClient in class org.apache.accumulo.testing.core.scalability.ScaleTest,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"conn : Connector to conn : AccumuloClient in method public getRanges(conn AccumuloClient, tableName String, splitsFile String) : Collection<Range> in class org.apache.accumulo.testing.core.merkle.cli.GenerateHashes",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"conn : Connector to conn : AccumuloClient in method public run(conn AccumuloClient, inputTableName String, outputTableName String, digestName String, numThreads int, iteratorPushdown boolean, ranges Collection<Range>) : void in class org.apache.accumulo.testing.core.merkle.cli.GenerateHashes",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"conn : Connector to conn : AccumuloClient in method public createTable(conn AccumuloClient, args Opts) : void in class org.apache.accumulo.testing.core.ingest.TestIngest",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"connector : Connector to connector : AccumuloClient in method public ingest(connector AccumuloClient, fs FileSystem, opts Opts, bwOpts BatchWriterOpts) : void in class org.apache.accumulo.testing.core.ingest.TestIngest",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"c : Connector to c : AccumuloClient in method public ingest(c AccumuloClient, opts Opts, batchWriterOpts BatchWriterOpts) : void in class org.apache.accumulo.testing.core.ingest.TestIngest",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,"conn : Connector to conn : AccumuloClient in method public computeAllHashes() : Map<String,String> in class org.apache.accumulo.testing.core.merkle.cli.CompareTables",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"conn : Connector to conn : AccumuloClient in method public getHash(conn AccumuloClient, table String, hashName String) : byte[] in class org.apache.accumulo.testing.core.merkle.cli.ComputeRootHash",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"conn : Connector to conn : AccumuloClient in method protected getLeaves(conn AccumuloClient, tableName String) : ArrayList<MerkleTreeNode> in class org.apache.accumulo.testing.core.merkle.cli.ComputeRootHash",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,conn : Connector to conn : AccumuloClient in method public getHash(opts ComputeRootHashOpts) : byte[] in class org.apache.accumulo.testing.core.merkle.cli.ComputeRootHash,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"conn : Connector to conn : AccumuloClient in method public run(conn AccumuloClient, tableName String, cfg BatchWriterConfig, numRecords long, rowMax int, cfMax int, cqMax int, deletePercent int) : void in class org.apache.accumulo.testing.core.merkle.ingest.RandomWorkload",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Parameter Type,"connector : Connector to connector : AccumuloClient in method public verifyIngest(connector AccumuloClient, opts Opts, scanOpts ScannerOpts) : void in class org.apache.accumulo.testing.core.ingest.VerifyIngest",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,conn : Connector to conn : AccumuloClient in method public setup() : void in class org.apache.accumulo.testing.core.scalability.Ingest,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,conn : Connector to conn : AccumuloClient in method public client() : void in class org.apache.accumulo.testing.core.scalability.Ingest,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,conn : Connector to conn : AccumuloClient in method public teardown() : void in class org.apache.accumulo.testing.core.scalability.Ingest,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,"c : Connector to c : AccumuloClient in method public visit(state State, env RandWalkEnv, props Properties) : void in class org.apache.accumulo.testing.core.randomwalk.concurrent.Replication",,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,16998c5223176dd8456e8c3159553b0518fb1ca4,https://github.com/apache/accumulo-testing/commit/16998c5223176dd8456e8c3159553b0518fb1ca4,TRUE,Change Variable Type,connector : Connector to connector : AccumuloClient in method public main(args String[]) : void in class org.apache.accumulo.testing.core.stress.Scan,,,
analyst 1,https://github.com/apache/accumulo-testing/pull/34,7b0d6c71d6f2d703a66ea2b817a97702d1ea8447,https://github.com/apache/accumulo-testing/commit/7b0d6c71d6f2d703a66ea2b817a97702d1ea8447,FALSE,Rename Method,public getConnector() : AccumuloClient renamed to public getClient() : AccumuloClient in class org.apache.accumulo.testing.core.scalability.ScaleTest,TRUE,TRUE,A review comment in commit's parent directly suggested such refactoring.
analyst 2,https://github.com/apache/servicecomb-java-chassis/pull/264,d1e3744e7a939a210f23f450f7a69d05b2be0189,https://github.com/apache/servicecomb-java-chassis/commit/d1e3744e7a939a210f23f450f7a69d05b2be0189,TRUE,,,,,
analyst 2,https://github.com/apache/servicecomb-java-chassis/pull/264,55149a74e26968257601d42683282f44d4270abe,https://github.com/apache/servicecomb-java-chassis/commit/55149a74e26968257601d42683282f44d4270abe,TRUE,,,,,
analyst 2,https://github.com/apache/servicecomb-java-chassis/pull/264,05c96e4376ba53dfaa71224bb6744c8c161c735e,https://github.com/apache/servicecomb-java-chassis/commit/05c96e4376ba53dfaa71224bb6744c8c161c735e,TRUE,,,,,
analyst 2,https://github.com/apache/servicecomb-java-chassis/pull/264,797d4402b101e928db6a699ad53fb9789542de9c,https://github.com/apache/servicecomb-java-chassis/commit/797d4402b101e928db6a699ad53fb9789542de9c,FALSE,Rename Variable,"doInvokeException : Throwable to doInvocationException : Throwable in method public invocationException(latestMicroserviceVersionMeta MicroserviceVersionMeta, microserviceMeta MicroserviceMeta) : void in class io.servicecomb.edge.core.TestEdgeInvocation",TRUE,FALSE,No notes.
analyst 1,https://github.com/apache/kafka/pull/4579,5946612e84fa5b67bb477c2be68c6d804216a3cf,https://github.com/apache/kafka/commit/5946612e84fa5b67bb477c2be68c6d804216a3cf,TRUE,,,,,
analyst 1,https://github.com/apache/kafka/pull/4579,5812a77a145ef5b9cac70abc7e48653ea9a0c04e,https://github.com/apache/kafka/commit/5812a77a145ef5b9cac70abc7e48653ea9a0c04e,TRUE,,,,,
analyst 1,https://github.com/apache/kafka/pull/4579,90ab356bdb684c3992d2daf4a36cfb0ea09c5c7c,https://github.com/apache/kafka/commit/90ab356bdb684c3992d2daf4a36cfb0ea09c5c7c,FALSE,Move Method,public testMissingTopic() : void from class org.apache.kafka.connect.file.FileStreamSourceTaskTest to public testMissingTopic() : void from class org.apache.kafka.connect.file.FileStreamSourceConnectorTest,TRUE,TRUE,A discussion in the commit's parent may have indirectly promoted such refactoring.
analyst 1,https://github.com/apache/kafka/pull/4579,75e8f88afc28cb0dbb9d9d83c2f3f2b0ed6d7653,https://github.com/apache/kafka/commit/75e8f88afc28cb0dbb9d9d83c2f3f2b0ed6d7653,FALSE,,,,,
analyst 2,https://github.com/apache/fluo/pull/1032,f3e1a9f8f5fe86bea4746ff8668a2ea8cd161aa4,https://github.com/apache/fluo/commit/f3e1a9f8f5fe86bea4746ff8668a2ea8cd161aa4,TRUE,Extract Method,"private scan(options ScanOpts, out PrintStream, cellScanner CellScanner) : void extracted from public scanFluo(options ScanOpts, sConfig FluoConfiguration, out PrintStream) : void in class org.apache.fluo.core.util.ScanUtil",,,
